"","Date","Gbp.usd","Domestic.Production.from.UKCS","Import","Per.GDP.Growth","Average.Temperature","Price.Electricity","Price.Gas","Gbp.eur","Price.ngl","Number.of.gas.switches","Electricity.churn.ratios","Price.lng","Price.coal","Price.gas.oil","Price.standard.grade.burning.oil","Price.diesel","Price.premium.unleaded","Price.super.unleaded","Price.wti.crude","Price.brent.crude"
"1",2010-10-01,1.604,3.54,5.4,0.2,10.44,43.5,46,1.1412,12.15,305000,2.5,9.52,103.2071429,45.3,45.3,120.59,117.2,124.65,81.89,82.67
"2",2010-11-01,1.5553,3.46,6.74,-0.1,5.52,46.4,49.66,1.1701,12.71,322000,2.7,10,112.5837662,46.65,46.65,122.47,118.7,125.97,84.25,85.28
"3",2010-12-01,1.5601,3.54,9,-0.9,0.63,58.03,62.26,1.1802,13.07,328000,1.8,9.95,123.7857143,50.25,50.25,125.76,121.61,128.86,89.15,91.45
"4",2011-01-01,1.6015,3.59,7.58,0.6,4.05,48.43,55.98,1.1817,13.03,279000,2.4,10.81,140.9935714,55.14,55.14,132.08,127.53,134.83,89.17,96.52
"5",2011-02-01,1.6258,3.2,5.68,0.4,6.29,46.47,53.74,1.1815,13.65,211000,3.6,11.89,134.6244643,55.6,55.6,133.45,128.37,135.34,88.58,103.72
"6",2011-03-01,1.6033,3.4,5.93,0.5,6.59,51.41,60.39,1.1527,14.38,307000,4.4,12.18,135.9712733,57.6,57.6,138.13,131.89,137.94,102.86,114.64
"7",2011-04-01,1.6704,3.26,4.84,-0.9,11.35,50.88,57.23,1.1331,15.45,246000,2.8,14.41,131.5255952,61.21,61.21,141.12,134.74,141.8,109.53,123.26
"8",2011-05-01,1.6451,2.79,4.62,1,11.78,50.27,57.01,1.1403,15.62,308000,2.1,15.75,127.9628571,60.41,60.41,141.51,136.71,144.36,100.9,114.99
"9",2011-06-01,1.6049,2.83,3.41,-0.1,13.37,50.82,58.25,1.1261,15.23,259000,3.5,16.29,128.362013,58.84,58.84,139.64,135.56,142.8,96.26,113.83
"10",2011-07-01,1.6421,2.6,3.81,0.4,14.79,47.96,55.09,1.1308,15.8,301000,3.4,16.29,128.9892857,58.64,58.64,139.42,135.11,142.92,97.3,116.97
"11",2011-08-01,1.6254,1.84,4.5,-0.4,14.9,47.36,54.06,1.1422,15.24,343000,3.7,17.7,127.462013,57.72,57.72,139.85,135.35,142.9,86.33,110.22
"12",2011-09-01,1.5584,2.27,3.74,0.2,14.6,48.32,53.64,1.147,15.88,309000,3.5,17.78,130.5618506,57.06,57.06,139.15,134.75,142.01,85.52,112.83
"13",2011-10-01,1.6091,3,4.58,-0.5,12.13,46.83,56.05,1.1487,15.71,247000,3,17.6,127.9127551,57.44,57.44,139.37,133.97,141.54,86.32,109.55
"14",2011-11-01,1.5696,3.27,4.92,1,9.73,46.15,58.15,1.1659,15.7,240000,3.5,17.89,122.7452922,57.9,57.9,140.25,133.18,140.69,97.16,110.77
